District,Town,Date,Count
South Goa,Canacona,2020-07-14,7
North Goa,Candolim,2020-07-14,1
North Goa,Cansarvarnem,2020-07-14,6
South Goa,Cansaulim,2020-07-14,0
North Goa,Carambolim,2020-07-14,5
North Goa,Caranzalem,2020-07-14,2
North Goa,Chimbel,2020-07-14,0
North Goa,Chimbel – Gavlebhat,2020-07-14,0
North Goa,Chimbel – Indiranagar,2020-07-14,34
South Goa,Chinchinim,2020-07-14,1
South Goa,Colva,2020-07-14,1
North Goa,Colvale,2020-07-14,1
North Goa,Consua,2020-07-14,0
North Goa,Corlim,2020-07-14,3
South Goa,Cortalim,2020-07-14,0
South Goa,Cuncolim,2020-07-14,27
North Goa,Curca / Shankarwadi,2020-07-14,5
South Goa,Curchorem,2020-07-14,2
South Goa,Curtorim,2020-07-14,3
North Goa,Dharbandora,2020-07-14,17
North Goa,Dona Paula,2020-07-14,0
South Goa,Fatorda,2020-07-14,1
North Goa,Goa Velha,2020-07-14,5
North Goa,Guirim,2020-07-14,1
North Goa,Khandola,2020-07-14,40
North Goa,Kumbharjua,2020-07-14,1
North Goa,Kundaim,2020-07-14,1
South Goa,Loutolim,2020-07-14,28
North Goa,Mandur,2020-07-14,8
South Goa,Mangor Hill,2020-07-14,77
South Goa,Mangor Hill – Linked To,2020-07-14,306
North Goa,Mapusa,2020-07-14,24
North Goa,Marcaim,2020-07-14,6
North Goa,Marcel,2020-07-14,2
North Goa,Mardol,2020-07-14,1
South Goa,Margao,2020-07-14,13
South Goa,Margao – Moti Dongor,2020-07-14,7
North Goa,Merces,2020-07-14,0
South Goa,Navelim,2020-07-14,8
North Goa,Nerul,2020-07-14,23
North Goa,Neura,2020-07-14,6
South Goa,Nuvem,2020-07-14,1
North Goa,Old Goa,2020-07-14,0
North Goa,Panaji,2020-07-14,1
North Goa,"Parra, Mapusa",2020-07-14,1
North Goa,Pernem,2020-07-14,13
North Goa,Pilar,2020-07-14,2
North Goa,Ponda,2020-07-14,41
North Goa,Porvorim,2020-07-14,3
South Goa,Quepem,2020-07-14,16
South Goa,Raia,2020-07-14,3
South Goa,Sanguem,2020-07-14,4
North Goa,Sankhalim,2020-07-14,28
South Goa,Shiroda,2020-07-14,17
North Goa,Siolim,2020-07-14,0
North Goa,St. Cruz,2020-07-14,0
North Goa,St. Cruz – Cujira,2020-07-14,1
North Goa,St. Inez,2020-07-14,0
North Goa,Taleigao,2020-07-14,0
North Goa,Thivim,2020-07-14,1
Unknown,"Travelled by Road, Train, Flight",2020-07-14,126
South Goa,Tulip Diagnostics,2020-07-14,136
North Goa,Usgao,2020-07-14,7
North Goa,Valpoi,2020-07-14,23
South Goa,Vasco – Vaddem,2020-07-14,1
North Goa,Verem,2020-07-14,2
South Goa,Verna,2020-07-14,4
North Goa,Volvoi,2020-07-14,4
North Goa,Agassaim,2020-07-13,0
North Goa,Anjuna,2020-07-13,0
South Goa,Arlem,2020-07-13,0
